data_year,maternal_age_band,live_births,pct_within_year
1993,<15,12554,0.31
1993,15-19,501093,12.53
1993,20-24,1038127,25.95
1993,25-29,1128862,28.22
1993,30-34,901151,22.53
1993,35-39,357053,8.93
1993,40-44,59071,1.48
1993,45+,2329,0.06
1994,<15,12901,0.33
1994,15-19,505488,12.79
1994,20-24,1001418,25.33
1994,25-29,1088845,27.55
1994,30-34,906498,22.93
1994,35-39,371608,9.40
1994,40-44,63502,1.61
1994,45+,2507,0.06
1995,<15,12242,0.31
1995,15-19,499873,12.82
1995,20-24,965547,24.76
1995,25-29,1063539,27.27
1995,30-34,904666,23.20
1995,35-39,383745,9.84
1995,40-44,67250,1.72
1995,45+,2727,0.07
1996,<15,11148,0.29
1996,15-19,491577,12.63
1996,20-24,945210,24.29
1996,25-29,1071287,27.53
1996,30-34,897913,23.07
1996,35-39,399510,10.27
1996,40-44,71804,1.85
1996,45+,3045,0.08
1997,<15,10121,0.26
1997,15-19,483220,12.45
1997,20-24,942048,24.27
1997,25-29,1069436,27.56
1997,30-34,886798,22.85
1997,35-39,409710,10.56
1997,40-44,76084,1.96
1997,45+,3477,0.09
1998,<15,9462,0.24
1998,15-19,484895,12.30
1998,20-24,965122,24.49
1998,25-29,1083010,27.48
1998,30-34,889365,22.56
1998,35-39,424890,10.78
1998,40-44,81027,2.06
1998,45+,3782,0.10
1999,<15,9054,0.23
1999,15-19,476050,12.02
1999,20-24,981929,24.80
1999,25-29,1078252,27.23
1999,30-34,892400,22.54
1999,35-39,434294,10.97
1999,40-44,83090,2.10
1999,45+,4348,0.11
2000,<15,8519,0.21
2000,15-19,468990,11.55
2000,20-24,1017806,25.08
2000,25-29,1087547,26.79
2000,30-34,929278,22.90
2000,35-39,452057,11.14
2000,40-44,90013,2.22
2000,45+,4604,0.11
2001,<15,7781,0.19
2001,15-19,445944,11.08
2001,20-24,1021627,25.38
2001,25-29,1058265,26.29
2001,30-34,942697,23.42
2001,35-39,451723,11.22
2001,40-44,92813,2.31
2001,45+,5083,0.13
2002,<15,7315,0.18
2002,15-19,425493,10.58
2002,20-24,1022106,25.41
2002,25-29,1060391,26.37
2002,30-34,951219,23.65
2002,35-39,453927,11.29
2002,40-44,95788,2.38
2002,45+,5487,0.14
2003,<15,6661,0.16
2003,15-19,414580,10.14
2003,20-24,1032305,25.24
2003,25-29,1086366,26.56
2003,30-34,975546,23.85
2003,35-39,467642,11.43
2003,40-44,101005,2.47
2003,45+,5845,0.14
2004,<15,6781,0.16
2004,15-19,415262,10.10
2004,20-24,1034454,25.16
2004,25-29,1104485,26.86
2004,30-34,965663,23.48
2004,35-39,475606,11.57
2004,40-44,103679,2.52
2004,45+,6122,0.15
2005,<15,6722,0.16
2005,15-19,414593,10.02
2005,20-24,1040388,25.14
2005,25-29,1131596,27.34
2005,30-34,950691,22.97
2005,35-39,483156,11.68
2005,40-44,104667,2.53
2005,45+,6536,0.16
2006,<15,6396,0.15
2006,15-19,435436,10.21
2006,20-24,1080437,25.33
2006,25-29,1181899,27.71
2006,30-34,950258,22.28
2006,35-39,498616,11.69
2006,40-44,105539,2.47
2006,45+,6974,0.16
2007,<15,6195,0.14
2007,15-19,444899,10.31
2007,20-24,1082354,25.08
2007,25-29,1208408,28.00
2007,30-34,961931,22.29
2007,35-39,499914,11.58
2007,40-44,105179,2.44
2007,45+,7353,0.17
2008,<15,5764,0.14
2008,15-19,434758,10.24
2008,20-24,1052184,24.77
2008,25-29,1195774,28.15
2008,30-34,956716,22.52
2008,35-39,488875,11.51
2008,40-44,105973,2.49
2008,45+,7650,0.18
2009,<15,5029,0.12
2009,15-19,409802,9.92
2009,20-24,1005982,24.35
2009,25-29,1166787,28.25
2009,30-34,955246,23.13
2009,35-39,474103,11.48
2009,40-44,105827,2.56
2009,45+,7889,0.19
2010,<15,4497,0.11
2010,15-19,367678,9.19
2010,20-24,951688,23.80
2010,25-29,1133713,28.35
2010,30-34,962170,24.06
2010,35-39,464870,11.62
2010,40-44,107045,2.68
2010,45+,7725,0.19
2011,<15,3974,0.10
2011,15-19,329772,8.34
2011,20-24,925200,23.40
2011,25-29,1127583,28.52
2011,30-34,986682,24.96
2011,35-39,463849,11.73
2011,40-44,108920,2.75
2011,45+,7610,0.19
2012,<15,3672,0.09
2012,15-19,305388,7.73
2012,20-24,916811,23.19
2012,25-29,1123900,28.43
2012,30-34,1013416,25.64
2012,35-39,472318,11.95
2012,40-44,109579,2.77
2012,45+,7757,0.20
2013,<15,3098,0.08
2013,15-19,273105,6.95
2013,20-24,896745,22.81
2013,25-29,1120777,28.50
2013,30-34,1036927,26.37
2013,35-39,483873,12.31
2013,40-44,109484,2.78
2013,45+,8172,0.21
2014,<15,2769,0.07
2014,15-19,249078,6.25
2014,20-24,882567,22.13
2014,25-29,1145392,28.72
2014,30-34,1081058,27.11
2014,35-39,508748,12.76
2014,40-44,110021,2.76
2014,45+,8443,0.21
2015,<15,2500,0.06
2015,15-19,229715,5.77
